Charstic_Name,Result_Value,Result_UOM_1,Rslt_Det_Cond1,Sample_Frac1,Analyical_Method,Method_Det_Limit,Result_Status,Comments_Txt,Lab_Accession,SubmittedTo_SEQ,Sample_Depth,Sample_Depth_UOM,Instream_Locaction,Sample_Type,Activity_Type,Activity_Name,Field_Activity_Date,Field_Activity_Time,STA_SEQ,Station_Name,Station_Type,Project_Name,Trip_Name,Location,State_Name,Municipality_Name,ADB_SegmentID1,SubBasin,Station_Long,Station_Lat,Station_Type_1,Org_Name_1,textbox24
Magnesium,919,ppb,,,Calcium - AA Spectrometry,"100.000 ppb - Estimated Detection Level, 25.000 ppb - Method Detection Level (MDL)",,,190219-008,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,2:40:00 PM,19938,Mint Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Adjacent the Airline Trail and Rt 207,Connecticut,HEBRON,,4701 - Raymond Brook - Salmon - Connecticut - Raymond Brook,-72.33888,41.64057,River/Stream,CESE,Total count:   480
Nitrite,,ppm,Not Detected,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-008,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,2:40:00 PM,19938,Mint Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Adjacent the Airline Trail and Rt 207,Connecticut,HEBRON,,4701 - Raymond Brook - Salmon - Connecticut - Raymond Brook,-72.33888,41.64057,River/Stream,CESE,Total count:   480
Orthophosphate,0.011,ppm,,,Phosphorus by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-005,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,10:30:00 AM,19933,Thompson Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,"Behind Mystic Valley Hunt Club, above two impounded ponds",Connecticut,LEDYARD,,2107 - Great Brook - Southeast Eastern Complex - Southeast Coast - Great Brook,-72.04427,41.40193,River/Stream,CESE,Total count:   480
Phosphorus,0.033,ppm,,,Total Phosphorus After Block Digestion,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-005,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,10:30:00 AM,19933,Thompson Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,"Behind Mystic Valley Hunt Club, above two impounded ponds",Connecticut,LEDYARD,,2107 - Great Brook - Southeast Eastern Complex - Southeast Coast - Great Brook,-72.04427,41.40193,River/Stream,CESE,Total count:   480
Inorganic nitrogen (nitrate and nitrite),0.432,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-005,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,10:30:00 AM,19933,Thompson Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,"Behind Mystic Valley Hunt Club, above two impounded ponds",Connecticut,LEDYARD,,2107 - Great Brook - Southeast Eastern Complex - Southeast Coast - Great Brook,-72.04427,41.40193,River/Stream,CESE,Total count:   480
Nitrogen,0.688,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.008 ppm - Method Detection Level (MDL)",,,190219-005,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,10:30:00 AM,19933,Thompson Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,"Behind Mystic Valley Hunt Club, above two impounded ponds",Connecticut,LEDYARD,,2107 - Great Brook - Southeast Eastern Complex - Southeast Coast - Great Brook,-72.04427,41.40193,River/Stream,CESE,Total count:   480
Turbidity,0.9,None,,,Turbidity by Nephelometry,"0.300 None - Estimated Detection Level, 0.100 None - Method Detection Level (MDL)",,,190219-005,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,10:30:00 AM,19933,Thompson Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,"Behind Mystic Valley Hunt Club, above two impounded ponds",Connecticut,LEDYARD,,2107 - Great Brook - Southeast Eastern Complex - Southeast Coast - Great Brook,-72.04427,41.40193,River/Stream,CESE,Total count:   480
Total suspended solids,10,ppm,,,Non-Filterable Residue - TSS,"5.000 ppm - Estimated Detection Level, 2.000 ppm - Method Detection Level (MDL)",,,190219-005,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,10:30:00 AM,19933,Thompson Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,"Behind Mystic Valley Hunt Club, above two impounded ponds",Connecticut,LEDYARD,,2107 - Great Brook - Southeast Eastern Complex - Southeast Coast - Great Brook,-72.04427,41.40193,River/Stream,CESE,Total count:   480
Silica,10.332,ppm,,,Dissolved Silica by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-005,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,10:30:00 AM,19933,Thompson Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,"Behind Mystic Valley Hunt Club, above two impounded ponds",Connecticut,LEDYARD,,2107 - Great Brook - Southeast Eastern Complex - Southeast Coast - Great Brook,-72.04427,41.40193,River/Stream,CESE,Total count:   480
Organic carbon,4.1,ppm,,,Total Organic Carbon by Combustion,"1.000 ppm - Estimated Detection Level, 0.500 ppm - Method Detection Level (MDL)",,,190219-005,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,10:30:00 AM,19933,Thompson Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,"Behind Mystic Valley Hunt Club, above two impounded ponds",Connecticut,LEDYARD,,2107 - Great Brook - Southeast Eastern Complex - Southeast Coast - Great Brook,-72.04427,41.40193,River/Stream,CESE,Total count:   480
Calcium,5670,ppb,,,Calcium - AA Spectrometry,"100.000 ppb - Estimated Detection Level, 25.000 ppb - Method Detection Level (MDL)",,,190219-005,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,10:30:00 AM,19933,Thompson Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,"Behind Mystic Valley Hunt Club, above two impounded ponds",Connecticut,LEDYARD,,2107 - Great Brook - Southeast Eastern Complex - Southeast Coast - Great Brook,-72.04427,41.40193,River/Stream,CESE,Total count:   480
Total solids,82,ppm,,,Total Residue,"41.000 ppm - Estimated Detection Level, 14.000 ppm - Method Detection Level (MDL)",,,190219-005,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,10:30:00 AM,19933,Thompson Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,"Behind Mystic Valley Hunt Club, above two impounded ponds",Connecticut,LEDYARD,,2107 - Great Brook - Southeast Eastern Complex - Southeast Coast - Great Brook,-72.04427,41.40193,River/Stream,CESE,Total count:   480
Ammonia-nitrogen,0.043,ppm,,,Ammonia Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-006,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,12:00:00 PM,17324,Latimer Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,behind St Mathias Church,Connecticut,EAST LYME,needs,2202 - Latimer Brook - Southeast Western Complex - Southeast Coast - Latimer Brook,-72.2217,41.4073,River/Stream,CESE,Total count:   480
Inorganic nitrogen (nitrate and nitrite),0.143,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-006,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,12:00:00 PM,17324,Latimer Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,behind St Mathias Church,Connecticut,EAST LYME,needs,2202 - Latimer Brook - Southeast Western Complex - Southeast Coast - Latimer Brook,-72.2217,41.4073,River/Stream,CESE,Total count:   480
"Hardness, Ca, Mg",17.6,ppm,,,Hardness in Water by EDTA Titration,"0.700 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-006,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,12:00:00 PM,17324,Latimer Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,behind St Mathias Church,Connecticut,EAST LYME,needs,2202 - Latimer Brook - Southeast Western Complex - Southeast Coast - Latimer Brook,-72.2217,41.4073,River/Stream,CESE,Total count:   480
Turbidity,2.8,None,,,Turbidity by Nephelometry,"0.300 None - Estimated Detection Level, 0.100 None - Method Detection Level (MDL)",,,190219-006,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,12:00:00 PM,17324,Latimer Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,behind St Mathias Church,Connecticut,EAST LYME,needs,2202 - Latimer Brook - Southeast Western Complex - Southeast Coast - Latimer Brook,-72.2217,41.4073,River/Stream,CESE,Total count:   480
Silica,5.336,ppm,,,Dissolved Silica by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-006,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,12:00:00 PM,17324,Latimer Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,behind St Mathias Church,Connecticut,EAST LYME,needs,2202 - Latimer Brook - Southeast Western Complex - Southeast Coast - Latimer Brook,-72.2217,41.4073,River/Stream,CESE,Total count:   480
Organic carbon,5.7,ppm,,,Total Organic Carbon by Combustion,"1.000 ppm - Estimated Detection Level, 0.500 ppm - Method Detection Level (MDL)",,,190219-006,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,12:00:00 PM,17324,Latimer Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,behind St Mathias Church,Connecticut,EAST LYME,needs,2202 - Latimer Brook - Southeast Western Complex - Southeast Coast - Latimer Brook,-72.2217,41.4073,River/Stream,CESE,Total count:   480
Nitrite,0.025,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-007,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,1:15:00 PM,20128,Susquetonscut Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Upstream Murphy Road,Connecticut,FRANKLIN,,3907 - Susquetonscut Brook - Yantic - Thames - Susquetonscut Brook,-72.139504,41.580635,River/Stream,CESE,Total count:   480
Orthophosphate,0.038,ppm,,,Phosphorus by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-007,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,1:15:00 PM,20128,Susquetonscut Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Upstream Murphy Road,Connecticut,FRANKLIN,,3907 - Susquetonscut Brook - Yantic - Thames - Susquetonscut Brook,-72.139504,41.580635,River/Stream,CESE,Total count:   480
Ammonia-nitrogen,0.085,ppm,,,Ammonia Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-007,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,1:15:00 PM,20128,Susquetonscut Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Upstream Murphy Road,Connecticut,FRANKLIN,,3907 - Susquetonscut Brook - Yantic - Thames - Susquetonscut Brook,-72.139504,41.580635,River/Stream,CESE,Total count:   480
Phosphorus,0.167,ppm,,,Total Phosphorus After Block Digestion,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-007,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,1:15:00 PM,20128,Susquetonscut Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Upstream Murphy Road,Connecticut,FRANKLIN,,3907 - Susquetonscut Brook - Yantic - Thames - Susquetonscut Brook,-72.139504,41.580635,River/Stream,CESE,Total count:   480
Nitrogen,1.089,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.008 ppm - Method Detection Level (MDL)",,,190219-007,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,1:15:00 PM,20128,Susquetonscut Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Upstream Murphy Road,Connecticut,FRANKLIN,,3907 - Susquetonscut Brook - Yantic - Thames - Susquetonscut Brook,-72.139504,41.580635,River/Stream,CESE,Total count:   480
Total solids,118,ppm,,,Total Residue,"41.000 ppm - Estimated Detection Level, 14.000 ppm - Method Detection Level (MDL)",,,190219-007,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,1:15:00 PM,20128,Susquetonscut Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Upstream Murphy Road,Connecticut,FRANKLIN,,3907 - Susquetonscut Brook - Yantic - Thames - Susquetonscut Brook,-72.139504,41.580635,River/Stream,CESE,Total count:   480
Chloride,13.4,ppm,,,Inorganic Anions by Ion Chromatography,"2.500 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-007,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,1:15:00 PM,20128,Susquetonscut Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Upstream Murphy Road,Connecticut,FRANKLIN,,3907 - Susquetonscut Brook - Yantic - Thames - Susquetonscut Brook,-72.139504,41.580635,River/Stream,CESE,Total count:   480
Calcium,14600,ppb,,,Calcium - AA Spectrometry,"100.000 ppb - Estimated Detection Level, 25.000 ppb - Method Detection Level (MDL)",,,190219-007,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,1:15:00 PM,20128,Susquetonscut Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Upstream Murphy Road,Connecticut,FRANKLIN,,3907 - Susquetonscut Brook - Yantic - Thames - Susquetonscut Brook,-72.139504,41.580635,River/Stream,CESE,Total count:   480
Turbidity,6.8,None,,,Turbidity by Nephelometry,"0.300 None - Estimated Detection Level, 0.100 None - Method Detection Level (MDL)",,,190219-007,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,1:15:00 PM,20128,Susquetonscut Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Upstream Murphy Road,Connecticut,FRANKLIN,,3907 - Susquetonscut Brook - Yantic - Thames - Susquetonscut Brook,-72.139504,41.580635,River/Stream,CESE,Total count:   480
Silica,8.617,ppm,,,Dissolved Silica by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-007,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,1:15:00 PM,20128,Susquetonscut Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Upstream Murphy Road,Connecticut,FRANKLIN,,3907 - Susquetonscut Brook - Yantic - Thames - Susquetonscut Brook,-72.139504,41.580635,River/Stream,CESE,Total count:   480
Orthophosphate,0.004,ppm,,,Phosphorus by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-008,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,2:40:00 PM,19938,Mint Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Adjacent the Airline Trail and Rt 207,Connecticut,HEBRON,,4701 - Raymond Brook - Salmon - Connecticut - Raymond Brook,-72.33888,41.64057,River/Stream,CESE,Total count:   480
Nitrogen,0.293,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.008 ppm - Method Detection Level (MDL)",,,190219-008,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,2:40:00 PM,19938,Mint Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Adjacent the Airline Trail and Rt 207,Connecticut,HEBRON,,4701 - Raymond Brook - Salmon - Connecticut - Raymond Brook,-72.33888,41.64057,River/Stream,CESE,Total count:   480
"Hardness, Ca, Mg",13.1,ppm,,,Hardness in Water by EDTA Titration,"0.700 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-008,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,2:40:00 PM,19938,Mint Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Adjacent the Airline Trail and Rt 207,Connecticut,HEBRON,,4701 - Raymond Brook - Salmon - Connecticut - Raymond Brook,-72.33888,41.64057,River/Stream,CESE,Total count:   480
Chloride,5.3,ppm,,,Inorganic Anions by Ion Chromatography,"2.500 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-008,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,2:40:00 PM,19938,Mint Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Adjacent the Airline Trail and Rt 207,Connecticut,HEBRON,,4701 - Raymond Brook - Salmon - Connecticut - Raymond Brook,-72.33888,41.64057,River/Stream,CESE,Total count:   480
Organic carbon,5.7,ppm,,,Total Organic Carbon by Combustion,"1.000 ppm - Estimated Detection Level, 0.500 ppm - Method Detection Level (MDL)",,,190219-008,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,2:40:00 PM,19938,Mint Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Adjacent the Airline Trail and Rt 207,Connecticut,HEBRON,,4701 - Raymond Brook - Salmon - Connecticut - Raymond Brook,-72.33888,41.64057,River/Stream,CESE,Total count:   480
Total solids,52,ppm,,,Total Residue,"41.000 ppm - Estimated Detection Level, 14.000 ppm - Method Detection Level (MDL)",,,190219-008,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,2:40:00 PM,19938,Mint Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Adjacent the Airline Trail and Rt 207,Connecticut,HEBRON,,4701 - Raymond Brook - Salmon - Connecticut - Raymond Brook,-72.33888,41.64057,River/Stream,CESE,Total count:   480
"Alkalinity, total",9,ppm,,,Alkalinity by Titration,"6.000 ppm - Estimated Detection Level, 2.000 ppm - Method Detection Level (MDL)",,,190219-008,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,6/19/2019,2:40:00 PM,19938,Mint Brook,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 06/19/19,Adjacent the Airline Trail and Rt 207,Connecticut,HEBRON,,4701 - Raymond Brook - Salmon - Connecticut - Raymond Brook,-72.33888,41.64057,River/Stream,CESE,Total count:   480
Phosphorus,0.056,ppm,,,Total Phosphorus After Block Digestion,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-009,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,16788,KEELER BROOK,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,Above Flax Hill Rd,Connecticut,NORWALK,Needs,7401 - Fivemile River - Southwest Western Complex - Southwest Coast - Fivemile River,-73.4397,41.092,River/Stream,CESE,Total count:   480
Ammonia-nitrogen,0.06,ppm,,,Ammonia Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-009,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,16788,KEELER BROOK,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,Above Flax Hill Rd,Connecticut,NORWALK,Needs,7401 - Fivemile River - Southwest Western Complex - Southwest Coast - Fivemile River,-73.4397,41.092,River/Stream,CESE,Total count:   480
Silica,12.895,ppm,,,Dissolved Silica by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-009,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,16788,KEELER BROOK,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,Above Flax Hill Rd,Connecticut,NORWALK,Needs,7401 - Fivemile River - Southwest Western Complex - Southwest Coast - Fivemile River,-73.4397,41.092,River/Stream,CESE,Total count:   480
"Hardness, Ca, Mg",146,ppm,,,Hardness in Water by EDTA Titration,"0.700 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-009,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,16788,KEELER BROOK,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,Above Flax Hill Rd,Connecticut,NORWALK,Needs,7401 - Fivemile River - Southwest Western Complex - Southwest Coast - Fivemile River,-73.4397,41.092,River/Stream,CESE,Total count:   480
Chloride,153.4,ppm,,,Inorganic Anions by Ion Chromatography,"2.500 ppm - Estimated Detection Level, 0.200 ppm - Method Detection Level (MDL)",,,190219-009,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,16788,KEELER BROOK,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,Above Flax Hill Rd,Connecticut,NORWALK,Needs,7401 - Fivemile River - Southwest Western Complex - Southwest Coast - Fivemile River,-73.4397,41.092,River/Stream,CESE,Total count:   480
Turbidity,2,None,,,Turbidity by Nephelometry,"0.300 None - Estimated Detection Level, 0.100 None - Method Detection Level (MDL)",,,190219-009,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,16788,KEELER BROOK,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,Above Flax Hill Rd,Connecticut,NORWALK,Needs,7401 - Fivemile River - Southwest Western Complex - Southwest Coast - Fivemile River,-73.4397,41.092,River/Stream,CESE,Total count:   480
"Alkalinity, total",82,ppm,,,Alkalinity by Titration,"6.000 ppm - Estimated Detection Level, 2.000 ppm - Method Detection Level (MDL)",,,190219-009,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,16788,KEELER BROOK,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,Above Flax Hill Rd,Connecticut,NORWALK,Needs,7401 - Fivemile River - Southwest Western Complex - Southwest Coast - Fivemile River,-73.4397,41.092,River/Stream,CESE,Total count:   480
Nitrite,0.003,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-010,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,15294,Norwalk River,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,downstream Rte 33 behind Red Rooster Pub,Connecticut,WILTON,CT7300-00_02,7300 - Norwalk River - Norwalk - Southwest Coast - Norwalk River,-73.4321,41.1954,River/Stream,CESE,Total count:   480
Ammonia-nitrogen,0.027,ppm,,,Ammonia Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-010,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,15294,Norwalk River,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,downstream Rte 33 behind Red Rooster Pub,Connecticut,WILTON,CT7300-00_02,7300 - Norwalk River - Norwalk - Southwest Coast - Norwalk River,-73.4321,41.1954,River/Stream,CESE,Total count:   480
Orthophosphate,0.03,ppm,,,Phosphorus by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.001 ppm - Method Detection Level (MDL)",,,190219-010,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,15294,Norwalk River,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,downstream Rte 33 behind Red Rooster Pub,Connecticut,WILTON,CT7300-00_02,7300 - Norwalk River - Norwalk - Southwest Coast - Norwalk River,-73.4321,41.1954,River/Stream,CESE,Total count:   480
Inorganic nitrogen (nitrate and nitrite),0.61,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.010 ppm - Estimated Detection Level, 0.003 ppm - Method Detection Level (MDL)",,,190219-010,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,15294,Norwalk River,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,downstream Rte 33 behind Red Rooster Pub,Connecticut,WILTON,CT7300-00_02,7300 - Norwalk River - Norwalk - Southwest Coast - Norwalk River,-73.4321,41.1954,River/Stream,CESE,Total count:   480
Nitrogen,0.767,ppm,,,Nitrate-Nitrite Nitrogen by Colorimetry,"0.050 ppm - Estimated Detection Level, 0.008 ppm - Method Detection Level (MDL)",,,190219-010,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,15294,Norwalk River,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,downstream Rte 33 behind Red Rooster Pub,Connecticut,WILTON,CT7300-00_02,7300 - Norwalk River - Norwalk - Southwest Coast - Norwalk River,-73.4321,41.1954,River/Stream,CESE,Total count:   480
Magnesium,11100,ppb,,,Calcium - AA Spectrometry,"100.000 ppb - Estimated Detection Level, 25.000 ppb - Method Detection Level (MDL)",,,190219-010,2,0.1,m,Center of Channel,discrete,Sample-Routine,Discrete Surface,7/5/2019,1:00:00 PM,15294,Norwalk River,River/Stream,Benthic Algae Project - 2019,Benthic Algae Project - 2019 - 07/05/19,downstream Rte 33 behind Red Rooster Pub,Connecticut,WILTON,CT7300-00_02,7300 - Norwalk River - Norwalk - Southwest Coast - Norwalk River,-73.4321,41.1954,River/Stream,CESE,Total count:   480
